grape_name,wine_name,wine_ratingAVG,wine_price,wine_ratingCOUNT
Chardonnay,Siepi,4.4,168.75,8129
Merlot,Siepi,4.4,168.75,8129
Sangiovese,Siepi,4.4,168.75,8129
Chardonnay,Tignanello,4.5,750.0,142513
Merlot,Tignanello,4.5,750.0,142513
Sangiovese,Tignanello,4.5,750.0,142513
Chardonnay,Tenuta Nuova Brunello di Montalcino,4.5,420.0,20934
Merlot,Tenuta Nuova Brunello di Montalcino,4.5,420.0,20934
Sangiovese,Tenuta Nuova Brunello di Montalcino,4.5,420.0,20934
Chardonnay,Altero Brunello di Montalcino,4.4,121.25,4620
Merlot,Altero Brunello di Montalcino,4.4,121.25,4620
Sangiovese,Altero Brunello di Montalcino,4.4,121.25,4620
Chardonnay,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,726.25,22896
Merlot,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,726.25,22896
Pinot Noir,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,726.25,22896
Chardonnay,Hermitage La Chapelle Rouge,4.3,310.0,15298
Merlot,Hermitage La Chapelle Rouge,4.3,310.0,15298
Pinot Noir,Hermitage La Chapelle Rouge,4.3,310.0,15298
Chardonnay,Barolo Rocche,4.4,202.5,1615
Merlot,Barolo Rocche,4.4,202.5,1615
Sangiovese,Barolo Rocche,4.4,202.5,1615
Chardonnay,Montepulciano d'Abruzzo,4.2,248.25,10110
Merlot,Montepulciano d'Abruzzo,4.2,248.25,10110
Sangiovese,Montepulciano d'Abruzzo,4.2,248.25,10110
Chardonnay,Vürsù Barbaresco Starderi,4.4,262.5,4414
Merlot,Vürsù Barbaresco Starderi,4.4,262.5,4414
Sangiovese,Vürsù Barbaresco Starderi,4.4,262.5,4414
Chardonnay,Barolo Rocche,4.4,276.25,1615
Merlot,Barolo Rocche,4.4,276.25,1615
Sangiovese,Barolo Rocche,4.4,276.25,1615
Chardonnay,Brunello di Montalcino,4.4,367.5,9171
Merlot,Brunello di Montalcino,4.4,367.5,9171
Sangiovese,Brunello di Montalcino,4.4,367.5,9171
Chardonnay,Pauillac (Premier Grand Cru Classé),4.6,2753.75,39283
Merlot,Pauillac (Premier Grand Cru Classé),4.6,2753.75,39283
Pinot Noir,Pauillac (Premier Grand Cru Classé),4.6,2753.75,39283
Chardonnay,Sassicaia,4.6,661.25,107646
Merlot,Sassicaia,4.6,661.25,107646
Sangiovese,Sassicaia,4.6,661.25,107646
Chardonnay,Bolgheri Superiore,4.6,1238.75,47939
Merlot,Bolgheri Superiore,4.6,1238.75,47939
Sangiovese,Bolgheri Superiore,4.6,1238.75,47939
Chardonnay,Carruades de Lafite Pauillac,4.4,731.25,13866
Merlot,Carruades de Lafite Pauillac,4.4,731.25,13866
Pinot Noir,Carruades de Lafite Pauillac,4.4,731.25,13866
Chardonnay,5 Stelle Sfursat,4.5,130.0,10740
Merlot,5 Stelle Sfursat,4.5,130.0,10740
Sangiovese,5 Stelle Sfursat,4.5,130.0,10740
Chardonnay,Barbaresco,4.5,533.75,24516
Merlot,Barbaresco,4.5,533.75,24516
Sangiovese,Barbaresco,4.5,533.75,24516
Chardonnay,Sperss Barolo,4.6,618.75,10950
Merlot,Sperss Barolo,4.6,618.75,10950
Sangiovese,Sperss Barolo,4.6,618.75,10950
Chardonnay,Darmagi Langhe,4.5,420.0,3184
Merlot,Darmagi Langhe,4.5,420.0,3184
Sangiovese,Darmagi Langhe,4.5,420.0,3184
Chardonnay,Vigna Cappella di S. Stefano Perno Barolo,4.4,148.75,2514
Merlot,Vigna Cappella di S. Stefano Perno Barolo,4.4,148.75,2514
Sangiovese,Vigna Cappella di S. Stefano Perno Barolo,4.4,148.75,2514
Chardonnay,Cristal Brut Champagne (Millésimé),4.6,896.25,42456
Merlot,Cristal Brut Champagne (Millésimé),4.6,896.25,42456
Pinot Noir,Cristal Brut Champagne (Millésimé),4.6,896.25,42456
Chardonnay,Cristal Rosé Brut Champagne (Millésimé),4.6,3202.5,5883
Merlot,Cristal Rosé Brut Champagne (Millésimé),4.6,3202.5,5883
Pinot Noir,Cristal Rosé Brut Champagne (Millésimé),4.6,3202.5,5883
Chardonnay,Vürsù Barbaresco Starderi,4.4,256.25,4414
Merlot,Vürsù Barbaresco Starderi,4.4,256.25,4414
Sangiovese,Vürsù Barbaresco Starderi,4.4,256.25,4414
Chardonnay,Costa Russi (Barbaresco) Langhe,4.6,811.25,2876
Merlot,Costa Russi (Barbaresco) Langhe,4.6,811.25,2876
Sangiovese,Costa Russi (Barbaresco) Langhe,4.6,811.25,2876
Chardonnay,Barbaresco,4.5,533.75,24516
Merlot,Barbaresco,4.5,533.75,24516
Sangiovese,Barbaresco,4.5,533.75,24516
Chardonnay,Sassicaia,4.6,1408.75,107646
Merlot,Sassicaia,4.6,1408.75,107646
Sangiovese,Sassicaia,4.6,1408.75,107646
Chardonnay,Sassicaia,4.6,1686.25,107646
Merlot,Sassicaia,4.6,1686.25,107646
Sangiovese,Sassicaia,4.6,1686.25,107646
Chardonnay,Sassicaia,4.6,747.5,107646
Merlot,Sassicaia,4.6,747.5,107646
Sangiovese,Sassicaia,4.6,747.5,107646
Chardonnay,Sassicaia,4.6,618.75,107646
Merlot,Sassicaia,4.6,618.75,107646
Sangiovese,Sassicaia,4.6,618.75,107646
Chardonnay,Sassicaia,4.6,618.75,107646
Merlot,Sassicaia,4.6,618.75,107646
Sangiovese,Sassicaia,4.6,618.75,107646
Chardonnay,Sassicaia,4.6,1537.5,107646
Merlot,Sassicaia,4.6,1537.5,107646
Sangiovese,Sassicaia,4.6,1537.5,107646
Chardonnay,Barolo Ginestra Vigna del Gris,4.3,243.75,3333
Merlot,Barolo Ginestra Vigna del Gris,4.3,243.75,3333
Sangiovese,Barolo Ginestra Vigna del Gris,4.3,243.75,3333
Chardonnay,Barolo Rocche,4.4,276.25,1615
Merlot,Barolo Rocche,4.4,276.25,1615
Sangiovese,Barolo Rocche,4.4,276.25,1615
Chardonnay,Vürsù Barbaresco Valeirano,4.4,208.75,3263
Merlot,Vürsù Barbaresco Valeirano,4.4,208.75,3263
Sangiovese,Vürsù Barbaresco Valeirano,4.4,208.75,3263
Chardonnay,Amarone della Valpolicella Classico,4.4,212.5,18720
Merlot,Amarone della Valpolicella Classico,4.4,212.5,18720
Sangiovese,Amarone della Valpolicella Classico,4.4,212.5,18720
Chardonnay,Bric Dël Fiasc Barolo,4.3,221.25,4947
Merlot,Bric Dël Fiasc Barolo,4.3,221.25,4947
Sangiovese,Bric Dël Fiasc Barolo,4.3,221.25,4947
Chardonnay,Redigaffi Toscana,4.5,493.75,5212
Merlot,Redigaffi Toscana,4.5,493.75,5212
Sangiovese,Redigaffi Toscana,4.5,493.75,5212
Chardonnay,Barbaresco,4.5,533.75,24516
Merlot,Barbaresco,4.5,533.75,24516
Sangiovese,Barbaresco,4.5,533.75,24516
Chardonnay,Barbaresco,4.5,1025.0,24516
Merlot,Barbaresco,4.5,1025.0,24516
Sangiovese,Barbaresco,4.5,1025.0,24516
Chardonnay,Redigaffi Toscana,4.5,921.25,5212
Merlot,Redigaffi Toscana,4.5,921.25,5212
Sangiovese,Redigaffi Toscana,4.5,921.25,5212
Chardonnay,Darmagi Langhe,4.5,353.75,3184
Merlot,Darmagi Langhe,4.5,353.75,3184
Sangiovese,Darmagi Langhe,4.5,353.75,3184
Chardonnay,Barbaresco,4.5,491.25,24516
Merlot,Barbaresco,4.5,491.25,24516
Sangiovese,Barbaresco,4.5,491.25,24516
Chardonnay,Costa Russi (Barbaresco) Langhe,4.6,1387.5,2876
Merlot,Costa Russi (Barbaresco) Langhe,4.6,1387.5,2876
Sangiovese,Costa Russi (Barbaresco) Langhe,4.6,1387.5,2876
Chardonnay,25 anni Montefalco Sagrantino,4.3,85.0,5419
Merlot,25 anni Montefalco Sagrantino,4.3,85.0,5419
Sangiovese,25 anni Montefalco Sagrantino,4.3,85.0,5419
Chardonnay,Sorì Tildìn (Barbaresco) Langhe,4.6,597.5,3955
Merlot,Sorì Tildìn (Barbaresco) Langhe,4.6,597.5,3955
Sangiovese,Sorì Tildìn (Barbaresco) Langhe,4.6,597.5,3955
Chardonnay,Barbaresco,4.5,512.5,24516
Merlot,Barbaresco,4.5,512.5,24516
Sangiovese,Barbaresco,4.5,512.5,24516
Chardonnay,Sorì Tildìn (Barbaresco) Langhe,4.6,811.25,3955
Merlot,Sorì Tildìn (Barbaresco) Langhe,4.6,811.25,3955
Sangiovese,Sorì Tildìn (Barbaresco) Langhe,4.6,811.25,3955
Chardonnay,Tignanello,4.5,491.25,142513
Merlot,Tignanello,4.5,491.25,142513
Sangiovese,Tignanello,4.5,491.25,142513
Chardonnay,Cristal Brut Champagne (Millésimé),4.6,1900.0,42456
Merlot,Cristal Brut Champagne (Millésimé),4.6,1900.0,42456
Pinot Noir,Cristal Brut Champagne (Millésimé),4.6,1900.0,42456
Chardonnay,Cristal Brut Champagne (Millésimé),4.6,630.0,42456
Merlot,Cristal Brut Champagne (Millésimé),4.6,630.0,42456
Pinot Noir,Cristal Brut Champagne (Millésimé),4.6,630.0,42456
Chardonnay,Pauillac (Premier Grand Cru Classé),4.6,1238.75,39283
Merlot,Pauillac (Premier Grand Cru Classé),4.6,1238.75,39283
Pinot Noir,Pauillac (Premier Grand Cru Classé),4.6,1238.75,39283
Chardonnay,Pauillac (Premier Grand Cru Classé),4.6,5977.5,39283
Merlot,Pauillac (Premier Grand Cru Classé),4.6,5977.5,39283
Pinot Noir,Pauillac (Premier Grand Cru Classé),4.6,5977.5,39283
Chardonnay,Pauillac (Premier Grand Cru Classé),4.6,1082.55,39283
Merlot,Pauillac (Premier Grand Cru Classé),4.6,1082.55,39283
Pinot Noir,Pauillac (Premier Grand Cru Classé),4.6,1082.55,39283
Chardonnay,Pauillac (Premier Grand Cru Classé),4.6,635.25,39283
Merlot,Pauillac (Premier Grand Cru Classé),4.6,635.25,39283
Pinot Noir,Pauillac (Premier Grand Cru Classé),4.6,635.25,39283
Chardonnay,Brunello di Montalcino,4.3,142.5,7929
Merlot,Brunello di Montalcino,4.3,142.5,7929
Sangiovese,Brunello di Montalcino,4.3,142.5,7929
Chardonnay,Altero Brunello di Montalcino,4.4,123.75,4620
Merlot,Altero Brunello di Montalcino,4.4,123.75,4620
Sangiovese,Altero Brunello di Montalcino,4.4,123.75,4620
Chardonnay,Barolo Bricco Gattera,4.4,250.0,2365
Merlot,Barolo Bricco Gattera,4.4,250.0,2365
Sangiovese,Barolo Bricco Gattera,4.4,250.0,2365
Cabernet Sauvignon,Special Selection Cabernet Sauvignon,4.7,397.5,41236
Chardonnay,Special Selection Cabernet Sauvignon,4.7,397.5,41236
Pinot Noir,Special Selection Cabernet Sauvignon,4.7,397.5,41236
Chardonnay,Sperss Barolo,4.6,533.75,10950
Merlot,Sperss Barolo,4.6,533.75,10950
Sangiovese,Sperss Barolo,4.6,533.75,10950
Chardonnay,Vürsù Barbaresco Starderi,4.4,307.5,4414
Merlot,Vürsù Barbaresco Starderi,4.4,307.5,4414
Sangiovese,Vürsù Barbaresco Starderi,4.4,307.5,4414
Chardonnay,Pauillac (Premier Grand Cru Classé),4.6,1900.0,39283
Merlot,Pauillac (Premier Grand Cru Classé),4.6,1900.0,39283
Pinot Noir,Pauillac (Premier Grand Cru Classé),4.6,1900.0,39283
Chardonnay,Pauillac (Premier Grand Cru Classé),4.6,1387.5,39283
Merlot,Pauillac (Premier Grand Cru Classé),4.6,1387.5,39283
Pinot Noir,Pauillac (Premier Grand Cru Classé),4.6,1387.5,39283
Chardonnay,Pauillac (Premier Grand Cru Classé),4.6,1473.75,39283
Merlot,Pauillac (Premier Grand Cru Classé),4.6,1473.75,39283
Pinot Noir,Pauillac (Premier Grand Cru Classé),4.6,1473.75,39283
Chardonnay,Cuvée Nicolas François Billecart Brut Champagne,4.5,360.0,6228
Merlot,Cuvée Nicolas François Billecart Brut Champagne,4.5,360.0,6228
Pinot Noir,Cuvée Nicolas François Billecart Brut Champagne,4.5,360.0,6228
Chardonnay,Scrio,4.3,243.75,2322
Merlot,Scrio,4.3,243.75,2322
Sangiovese,Scrio,4.3,243.75,2322
Chardonnay,Messorio,4.5,420.0,5514
Merlot,Messorio,4.5,420.0,5514
Sangiovese,Messorio,4.5,420.0,5514
Chardonnay,Tignanello,4.5,840.0,142513
Merlot,Tignanello,4.5,840.0,142513
Sangiovese,Tignanello,4.5,840.0,142513
Chardonnay,Cepparello Red,4.3,148.75,12191
Merlot,Cepparello Red,4.3,148.75,12191
Sangiovese,Cepparello Red,4.3,148.75,12191
Chardonnay,Tignanello,4.5,287.5,142513
Merlot,Tignanello,4.5,287.5,142513
Sangiovese,Tignanello,4.5,287.5,142513
Chardonnay,Barbaresco,4.5,491.25,24516
Merlot,Barbaresco,4.5,491.25,24516
Sangiovese,Barbaresco,4.5,491.25,24516
Chardonnay,Messorio,4.5,618.75,5514
Merlot,Messorio,4.5,618.75,5514
Sangiovese,Messorio,4.5,618.75,5514
Chardonnay,Clos du Mesnil,4.7,5017.5,2471
Merlot,Clos du Mesnil,4.7,5017.5,2471
Pinot Noir,Clos du Mesnil,4.7,5017.5,2471
Chardonnay,Collection,4.7,2455.0,2184
Merlot,Collection,4.7,2455.0,2184
Pinot Noir,Collection,4.7,2455.0,2184
Chardonnay,Barolo Cascina Francia,4.5,597.5,6045
Merlot,Barolo Cascina Francia,4.5,597.5,6045
Sangiovese,Barolo Cascina Francia,4.5,597.5,6045
Chardonnay,Pessac-Léognan (Grand Cru Classé de Graves),4.4,150.05,27316
Merlot,Pessac-Léognan (Grand Cru Classé de Graves),4.4,150.05,27316
Pinot Noir,Pessac-Léognan (Grand Cru Classé de Graves),4.4,150.05,27316
Chardonnay,Brunello di Montalcino Riserva,4.6,795.0,3375
Merlot,Brunello di Montalcino Riserva,4.6,795.0,3375
Sangiovese,Brunello di Montalcino Riserva,4.6,795.0,3375
Chardonnay,Romanée-Saint-Vivant Grand Cru (Marey-Monge),4.7,8463.75,6597
Merlot,Romanée-Saint-Vivant Grand Cru (Marey-Monge),4.7,8463.75,6597
Pinot Noir,Romanée-Saint-Vivant Grand Cru (Marey-Monge),4.7,8463.75,6597
Chardonnay,Clos des Lambrays Grand Cru,4.4,1878.75,6431
Merlot,Clos des Lambrays Grand Cru,4.4,1878.75,6431
Pinot Noir,Clos des Lambrays Grand Cru,4.4,1878.75,6431
Chardonnay,Barolo Riserva Monfortino,4.7,2747.5,5013
Merlot,Barolo Riserva Monfortino,4.7,2747.5,5013
Sangiovese,Barolo Riserva Monfortino,4.7,2747.5,5013
Chardonnay,Saint-Julien (Grand Cru Classé),4.3,205.0,32627
Merlot,Saint-Julien (Grand Cru Classé),4.3,205.0,32627
Pinot Noir,Saint-Julien (Grand Cru Classé),4.3,205.0,32627
Chardonnay,Châteauneuf-du-Pape,4.7,3308.75,7544
Merlot,Châteauneuf-du-Pape,4.7,3308.75,7544
Pinot Noir,Châteauneuf-du-Pape,4.7,3308.75,7544
Chardonnay,Amarone della Valpolicella Monte Lodoletta,4.7,683.75,7947
Merlot,Amarone della Valpolicella Monte Lodoletta,4.7,683.75,7947
Sangiovese,Amarone della Valpolicella Monte Lodoletta,4.7,683.75,7947
Chardonnay,Valpolicella Superiore Monte Lodoletta,4.5,243.75,13024
Merlot,Valpolicella Superiore Monte Lodoletta,4.5,243.75,13024
Sangiovese,Valpolicella Superiore Monte Lodoletta,4.5,243.75,13024
Chardonnay,Recioto della Valpolicella (Monte Lodoletta),4.6,376.25,227
Merlot,Recioto della Valpolicella (Monte Lodoletta),4.6,376.25,227
Sangiovese,Recioto della Valpolicella (Monte Lodoletta),4.6,376.25,227
Chardonnay,Barolo Ciabot Mentin Ginestra,4.3,168.75,3525
Merlot,Barolo Ciabot Mentin Ginestra,4.3,168.75,3525
Sangiovese,Barolo Ciabot Mentin Ginestra,4.3,168.75,3525
Chardonnay,Lupicaia,4.4,243.75,4414
Merlot,Lupicaia,4.4,243.75,4414
Sangiovese,Lupicaia,4.4,243.75,4414
Cabernet Sauvignon,Cabernet Sauvignon,4.5,201.25,3087
Chardonnay,Cabernet Sauvignon,4.5,201.25,3087
Pinot Noir,Cabernet Sauvignon,4.5,201.25,3087
Chardonnay,Amarone della Valpolicella Monte Lodoletta,4.7,795.0,7947
Merlot,Amarone della Valpolicella Monte Lodoletta,4.7,795.0,7947
Sangiovese,Amarone della Valpolicella Monte Lodoletta,4.7,795.0,7947
Chardonnay,Amarone della Valpolicella Monte Lodoletta,4.7,786.25,7947
Merlot,Amarone della Valpolicella Monte Lodoletta,4.7,786.25,7947
Sangiovese,Amarone della Valpolicella Monte Lodoletta,4.7,786.25,7947
Chardonnay,Valpolicella Superiore Monte Lodoletta,4.5,212.5,13024
Merlot,Valpolicella Superiore Monte Lodoletta,4.5,212.5,13024
Sangiovese,Valpolicella Superiore Monte Lodoletta,4.5,212.5,13024
Chardonnay,L'Apparita,4.4,287.5,3836
Merlot,L'Apparita,4.4,287.5,3836
Sangiovese,L'Apparita,4.4,287.5,3836
Chardonnay,Clos des Lambrays Grand Cru,4.4,1686.25,6431
Merlot,Clos des Lambrays Grand Cru,4.4,1686.25,6431
Pinot Noir,Clos des Lambrays Grand Cru,4.4,1686.25,6431
Chardonnay,L'Extravagant de Doisy-Daëne Sauternes,4.6,276.25,465
Merlot,L'Extravagant de Doisy-Daëne Sauternes,4.6,276.25,465
Pinot Noir,L'Extravagant de Doisy-Daëne Sauternes,4.6,276.25,465
Chardonnay,Clos de la Coulée de Serrant,4.3,265.0,8365
Merlot,Clos de la Coulée de Serrant,4.3,265.0,8365
Pinot Noir,Clos de la Coulée de Serrant,4.3,265.0,8365
Chardonnay,Tenuta Tignanello 'Solaia',4.6,1473.75,33143
Merlot,Tenuta Tignanello 'Solaia',4.6,1473.75,33143
Sangiovese,Tenuta Tignanello 'Solaia',4.6,1473.75,33143
Chardonnay,Veneto Rosso del Bepi,4.6,243.75,3747
Merlot,Veneto Rosso del Bepi,4.6,243.75,3747
Sangiovese,Veneto Rosso del Bepi,4.6,243.75,3747
Chardonnay,Vosne-Romanée 1er Cru 'Aux Malconsorts',4.5,2092.5,681
Merlot,Vosne-Romanée 1er Cru 'Aux Malconsorts',4.5,2092.5,681
Pinot Noir,Vosne-Romanée 1er Cru 'Aux Malconsorts',4.5,2092.5,681
Chardonnay,Tenuta Tignanello 'Solaia',4.6,1387.5,33143
Merlot,Tenuta Tignanello 'Solaia',4.6,1387.5,33143
Sangiovese,Tenuta Tignanello 'Solaia',4.6,1387.5,33143
Chardonnay,Cerretalto Brunello di Montalcino,4.7,533.75,5373
Merlot,Cerretalto Brunello di Montalcino,4.7,533.75,5373
Sangiovese,Cerretalto Brunello di Montalcino,4.7,533.75,5373
Chardonnay,Cristal Brut Champagne (Millésimé),4.6,2071.25,42456
Merlot,Cristal Brut Champagne (Millésimé),4.6,2071.25,42456
Pinot Noir,Cristal Brut Champagne (Millésimé),4.6,2071.25,42456
Chardonnay,Vintage,4.6,1260.0,16918
Merlot,Vintage,4.6,1260.0,16918
Pinot Noir,Vintage,4.6,1260.0,16918
Chardonnay,Clos du Mesnil,4.7,3522.5,2471
Merlot,Clos du Mesnil,4.7,3522.5,2471
Pinot Noir,Clos du Mesnil,4.7,3522.5,2471
Chardonnay,Barolo Rocche,4.4,208.75,1615
Merlot,Barolo Rocche,4.4,208.75,1615
Sangiovese,Barolo Rocche,4.4,208.75,1615
Chardonnay,Brunello di Montalcino Riserva,4.4,127.5,306
Merlot,Brunello di Montalcino Riserva,4.4,127.5,306
Sangiovese,Brunello di Montalcino Riserva,4.4,127.5,306
Chardonnay,Barolo Sorì Ginestra,4.3,271.25,4827
Merlot,Barolo Sorì Ginestra,4.3,271.25,4827
Sangiovese,Barolo Sorì Ginestra,4.3,271.25,4827
Chardonnay,Château Margaux (Premier Grand Cru Classé),4.6,1067.5,45350
Merlot,Château Margaux (Premier Grand Cru Classé),4.6,1067.5,45350
Pinot Noir,Château Margaux (Premier Grand Cru Classé),4.6,1067.5,45350
Chardonnay,Collection,4.7,2028.75,2184
Merlot,Collection,4.7,2028.75,2184
Pinot Noir,Collection,4.7,2028.75,2184
Touriga Nacional,Colheita Port,4.2,147.82,8039
Touriga Franca,Colheita Port,4.2,147.82,8039
Tinta Roriz,Colheita Port,4.2,147.82,8039
Chardonnay,Bolgheri Superiore,4.3,291.25,14242
Merlot,Bolgheri Superiore,4.3,291.25,14242
Sangiovese,Bolgheri Superiore,4.3,291.25,14242
Chardonnay,Amarone della Valpolicella Monte Lodoletta,4.7,697.5,7947
Merlot,Amarone della Valpolicella Monte Lodoletta,4.7,697.5,7947
Sangiovese,Amarone della Valpolicella Monte Lodoletta,4.7,697.5,7947
Chardonnay,Pomerol,4.4,747.5,7221
Merlot,Pomerol,4.4,747.5,7221
Pinot Noir,Pomerol,4.4,747.5,7221
Chardonnay,Châteauneuf-du-Pape,4.4,310.0,38998
Merlot,Châteauneuf-du-Pape,4.4,310.0,38998
Pinot Noir,Châteauneuf-du-Pape,4.4,310.0,38998
Chardonnay,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,2882.5,9564
Merlot,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,2882.5,9564
Pinot Noir,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,2882.5,9564
Chardonnay,Saint-Julien (Grand Cru Classé),4.4,406.25,28094
Merlot,Saint-Julien (Grand Cru Classé),4.4,406.25,28094
Pinot Noir,Saint-Julien (Grand Cru Classé),4.4,406.25,28094
Chardonnay,Galatrona,4.3,310.0,7971
Merlot,Galatrona,4.3,310.0,7971
Sangiovese,Galatrona,4.3,310.0,7971
Chardonnay,Tenuta Tignanello 'Solaia',4.6,668.75,33143
Merlot,Tenuta Tignanello 'Solaia',4.6,668.75,33143
Sangiovese,Tenuta Tignanello 'Solaia',4.6,668.75,33143
Chardonnay,Barbaresco,4.5,470.0,24516
Merlot,Barbaresco,4.5,470.0,24516
Sangiovese,Barbaresco,4.5,470.0,24516
Chardonnay,Sorì San Lorenzo,4.6,917.5,3857
Merlot,Sorì San Lorenzo,4.6,917.5,3857
Sangiovese,Sorì San Lorenzo,4.6,917.5,3857
Chardonnay,Grand Vin de Château Palmer (Grand Cru Classé),4.5,630.0,29026
Merlot,Grand Vin de Château Palmer (Grand Cru Classé),4.5,630.0,29026
Pinot Noir,Grand Vin de Château Palmer (Grand Cru Classé),4.5,630.0,29026
Chardonnay,Sassicaia,4.6,618.75,107646
Merlot,Sassicaia,4.6,618.75,107646
Sangiovese,Sassicaia,4.6,618.75,107646
Chardonnay,Messorio,4.5,420.0,5514
Merlot,Messorio,4.5,420.0,5514
Sangiovese,Messorio,4.5,420.0,5514
Chardonnay,Carruades de Lafite Pauillac,4.4,686.4,13866
Merlot,Carruades de Lafite Pauillac,4.4,686.4,13866
Pinot Noir,Carruades de Lafite Pauillac,4.4,686.4,13866
Chardonnay,Pomerol,4.4,423.5,10374
Merlot,Pomerol,4.4,423.5,10374
Pinot Noir,Pomerol,4.4,423.5,10374
Chardonnay,Tignanello,4.5,820.0,142513
Merlot,Tignanello,4.5,820.0,142513
Sangiovese,Tignanello,4.5,820.0,142513
Chardonnay,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,1173.75,28198
Merlot,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,1173.75,28198
Pinot Noir,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,1173.75,28198
Chardonnay,Pessac-Léognan Blanc (Grand Cru Classé de Graves),4.5,2028.75,1206
Merlot,Pessac-Léognan Blanc (Grand Cru Classé de Graves),4.5,2028.75,1206
Pinot Noir,Pessac-Léognan Blanc (Grand Cru Classé de Graves),4.5,2028.75,1206
Chardonnay,Sassicaia,4.6,597.5,107646
Merlot,Sassicaia,4.6,597.5,107646
Sangiovese,Sassicaia,4.6,597.5,107646
Chardonnay,Pomerol,4.5,576.25,12214
Merlot,Pomerol,4.5,576.25,12214
Pinot Noir,Pomerol,4.5,576.25,12214
Chardonnay,Château Margaux (Premier Grand Cru Classé),4.6,1173.75,45350
Merlot,Château Margaux (Premier Grand Cru Classé),4.6,1173.75,45350
Pinot Noir,Château Margaux (Premier Grand Cru Classé),4.6,1173.75,45350
Chardonnay,Pessac-Léognan (Premier Grand Cru Classé),4.6,2455.0,39605
Merlot,Pessac-Léognan (Premier Grand Cru Classé),4.6,2455.0,39605
Pinot Noir,Pessac-Léognan (Premier Grand Cru Classé),4.6,2455.0,39605
Cabernet Sauvignon,Beckstoffer To Kalon Vineyard Cabernet Sauvignon,4.6,260.0,1557
Chardonnay,Beckstoffer To Kalon Vineyard Cabernet Sauvignon,4.6,260.0,1557
Pinot Noir,Beckstoffer To Kalon Vineyard Cabernet Sauvignon,4.6,260.0,1557
Shiraz/Syrah,Series C,4.5,65.0,3027
Cabernet Sauvignon,Series C,4.5,65.0,3027
Merlot,Series C,4.5,65.0,3027
Chardonnay,Clos des Lambrays Grand Cru,4.4,896.25,6431
Merlot,Clos des Lambrays Grand Cru,4.4,896.25,6431
Pinot Noir,Clos des Lambrays Grand Cru,4.4,896.25,6431
Chardonnay,Pauillac (Premier Grand Cru Classé),4.6,1625.0,39283
Merlot,Pauillac (Premier Grand Cru Classé),4.6,1625.0,39283
Pinot Noir,Pauillac (Premier Grand Cru Classé),4.6,1625.0,39283
Chardonnay,Romanée-Saint-Vivant Grand Cru,4.5,3202.5,463
Merlot,Romanée-Saint-Vivant Grand Cru,4.5,3202.5,463
Pinot Noir,Romanée-Saint-Vivant Grand Cru,4.5,3202.5,463
Chardonnay,Ornato Barolo,4.4,212.5,5469
Merlot,Ornato Barolo,4.4,212.5,5469
Sangiovese,Ornato Barolo,4.4,212.5,5469
Chardonnay,Barbaresco,4.5,688.75,24516
Merlot,Barbaresco,4.5,688.75,24516
Sangiovese,Barbaresco,4.5,688.75,24516
Chardonnay,Château Margaux (Premier Grand Cru Classé),4.6,1173.75,45350
Merlot,Château Margaux (Premier Grand Cru Classé),4.6,1173.75,45350
Pinot Noir,Château Margaux (Premier Grand Cru Classé),4.6,1173.75,45350
Chardonnay,Pauillac (Premier Grand Cru Classé),4.6,1451.25,39283
Merlot,Pauillac (Premier Grand Cru Classé),4.6,1451.25,39283
Pinot Noir,Pauillac (Premier Grand Cru Classé),4.6,1451.25,39283
Chardonnay,Ornato Barolo,4.4,178.75,5469
Merlot,Ornato Barolo,4.4,178.75,5469
Sangiovese,Ornato Barolo,4.4,178.75,5469
Chardonnay,Barbaresco,4.5,597.5,24516
Merlot,Barbaresco,4.5,597.5,24516
Sangiovese,Barbaresco,4.5,597.5,24516
Chardonnay,Bric Dël Fiasc Barolo,4.3,243.75,4947
Merlot,Bric Dël Fiasc Barolo,4.3,243.75,4947
Sangiovese,Bric Dël Fiasc Barolo,4.3,243.75,4947
Cabernet Sauvignon,Félix Callejo (Viñedos de la Familia),4.3,304.5,1341
Tempranillo,Félix Callejo (Viñedos de la Familia),4.3,304.5,1341
Garnacha,Félix Callejo (Viñedos de la Familia),4.3,304.5,1341
Chardonnay,Galatrona,4.3,212.5,7971
Merlot,Galatrona,4.3,212.5,7971
Sangiovese,Galatrona,4.3,212.5,7971
Chardonnay,Barbaresco,4.5,470.0,24516
Merlot,Barbaresco,4.5,470.0,24516
Sangiovese,Barbaresco,4.5,470.0,24516
Chardonnay,Sorì San Lorenzo,4.6,1025.0,3857
Merlot,Sorì San Lorenzo,4.6,1025.0,3857
Sangiovese,Sorì San Lorenzo,4.6,1025.0,3857
Chardonnay,Brunello di Montalcino Riserva,4.6,921.25,3375
Merlot,Brunello di Montalcino Riserva,4.6,921.25,3375
